924,-1,556,287,109,355,0.9688329,-1,-1,-1
924,-1,1104,279,157,440,0.94378877,-1,-1,-1
924,-1,387,331,45,138,0.9401422,-1,-1,-1
924,-1,448,334,49,143,0.90236354,-1,-1,-1
928,-1,399,325,53,157,0.9967854,-1,-1,-1
928,-1,580,332,46,141,0.9394457,-1,-1,-1
928,-1,789,251,143,470,0.9332352,-1,-1,-1
613,-1,449,330,53,159,0.9693359,-1,-1,-1
613,-1,408,335,48,146,0.8361621,-1,-1,-1
867,-1,463,335,60,147,0.9940767,-1,-1,-1
867,-1,548,340,54,142,0.7207939,-1,-1,-1
881,-1,843,290,119,353,0.99832517,-1,-1,-1
881,-1,360,306,51,197,0.9669279,-1,-1,-1
881,-1,503,294,101,284,0.8196329,-1,-1,-1
908,-1,630,289,99,275,0.9986203,-1,-1,-1
908,-1,396,331,58,162,0.99595237,-1,-1,-1
908,-1,930,259,144,429,0.99447435,-1,-1,-1
908,-1,504,338,55,126,0.7436946,-1,-1,-1
744,-1,451,339,57,144,0.9140494,-1,-1,-1
744,-1,555,338,51,127,0.89109266,-1,-1,-1
744,-1,1005,274,141,435,0.8132751,-1,-1,-1
593,-1,548,282,120,387,0.9872592,-1,-1,-1
593,-1,426,345,42,102,0.81853455,-1,-1,-1
395,-1,559,324,69,179,0.99821067,-1,-1,-1
509,-1,654,314,76,243,0.99120903,-1,-1,-1
509,-1,395,330,50,134,0.98223096,-1,-1,-1
509,-1,607,337,58,168,0.92733127,-1,-1,-1
94,-1,685,290,127,385,0.98533183,-1,-1,-1
94,-1,839,326,129,335,0.96630144,-1,-1,-1
94,-1,1055,327,114,310,0.9620033,-1,-1,-1
94,-1,805,326,103,310,0.82413775,-1,-1,-1
383,-1,841,280,116,341,0.9930058,-1,-1,-1
383,-1,562,331,48,139,0.97998434,-1,-1,-1
934,-1,424,312,72,209,0.99961853,-1,-1,-1
934,-1,660,315,75,241,0.9877011,-1,-1,-1
934,-1,575,345,35,104,0.8185704,-1,-1,-1
592,-1,521,292,103,349,0.8849803,-1,-1,-1
788,-1,491,334,50,125,0.7845412,-1,-1,-1
788,-1,1077,172,160,562,0.7729407,-1,-1,-1
495,-1,654,284,101,314,0.97885954,-1,-1,-1
495,-1,827,312,118,314,0.9569158,-1,-1,-1
374,-1,618,329,58,175,0.99500823,-1,-1,-1
23,-1,1031,307,114,339,0.998676,-1,-1,-1
23,-1,839,294,108,304,0.98329264,-1,-1,-1
23,-1,706,358,54,131,0.98207736,-1,-1,-1
23,-1,799,356,50,123,0.94555014,-1,-1,-1
23,-1,759,356,47,125,0.9309908,-1,-1,-1
23,-1,676,368,32,86,0.87433285,-1,-1,-1
23,-1,615,354,55,126,0.83590996,-1,-1,-1
916,-1,521,322,63,186,0.992481,-1,-1,-1
